stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
21,1,8.0,22.436773999999787,,22.420351000000664,22.436773999999787,22.91846170000099,22.91846170000099,22.951160800001162,23.21833880000122,23.570070400000986,left,-8.0,1,1,0.6447616000004928,659763,001,2024-09-12_21h33.42.024,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 21h33.47.693455 +0530,
22,1,8.0,23.58357050000086,,23.570253400001093,23.58357050000086,24.084173799999917,24.084173799999917,24.084173799999917,24.38404360000095,24.703178300000218,right,8.0,1,1,0.6148680000005697,659763,001,2024-09-12_21h33.42.024,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 21h33.47.693455 +0530,
23,1,7.0,24.726654800000688,,24.70331150000129,24.726654800000688,25.217385699999795,25.217385699999795,25.23303440000018,25.51437199999964,25.95080450000023,right,7.0,1,1,0.7194257000010111,659763,001,2024-09-12_21h33.42.024,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 21h33.47.693455 +0530,
24,1,7.0,25.965978000000177,,25.95093749999978,25.965978000000177,26.46514080000088,26.46514080000088,26.46514080000088,26.764513399999487,26.9653341000012,left,-7.0,1,1,0.4890734999989945,659763,001,2024-09-12_21h33.42.024,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 21h33.47.693455 +0530,
25,1,7.0,26.98204059999989,,26.965465499999482,26.98204059999989,27.46399300000121,27.46399300000121,27.497046899999987,27.763577699999587,27.950742200000604,right,7.0,1,1,0.4769245999996201,659763,001,2024-09-12_21h33.42.024,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 21h33.47.693455 +0530,
26,1,6.0,27.973502400000143,,27.95087710000007,27.973502400000143,28.463928500001202,28.463928500001202,28.479594200000065,28.77926330000082,28.9663187999995,right,6.0,1,1,0.4959275000001071,659763,001,2024-09-12_21h33.42.024,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 21h33.47.693455 +0530,
27,1,6.0,28.989421199999924,,28.96644809999998,28.989421199999924,29.479499099999884,29.479499099999884,29.49548700000014,29.77956819999963,30.213760000000548,left,-6.0,1,1,0.7218043000011676,659763,001,2024-09-12_21h33.42.024,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 21h33.47.693455 +0530,
28,1,6.0,30.22829509999974,,30.213888600001155,30.22829509999974,30.727982300000804,30.727982300000804,30.727982300000804,31.026939600000333,31.712617500001215,left,-6.0,1,1,0.9701546000014787,659763,001,2024-09-12_21h33.42.024,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 21h33.47.693455 +0530,
29,1,5.0,31.72653480000008,,31.712751600000047,31.72653480000008,32.22463620000053,32.22463620000053,32.24043309999979,32.52425640000001,32.89489909999975,left,-5.0,1,1,0.65439730000071,659763,001,2024-09-12_21h33.42.024,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 21h33.47.693455 +0530,
30,1,5.0,32.90858389999994,,32.89502220000031,32.90858389999994,33.408263700001044,33.408263700001044,33.408263700001044,33.70768700000008,34.16076040000007,right,5.0,1,1,0.748006699999678,659763,001,2024-09-12_21h33.42.024,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 21h33.47.693455 +0530,
31,1,5.0,34.18476490000103,,34.1609210000006,34.18476490000103,34.6747761000006,34.6747761000006,34.69014900000002,34.97489570000107,35.176360000001296,left,-5.0,1,1,0.48337379999975383,659763,001,2024-09-12_21h33.42.024,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 21h33.47.693455 +0530,
32,1,4.0,35.189959100000124,,35.176499299999705,35.189959100000124,35.68976339999972,35.68976339999972,35.68976339999972,35.988932500000374,36.2575680000009,left,-4.0,1,1,0.5562030999990384,659763,001,2024-09-12_21h33.42.024,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 21h33.47.693455 +0530,
33,1,4.0,36.27238530000068,,36.25774889999957,36.27238530000068,36.77171459999954,36.77171459999954,36.78882870000052,37.075207100000625,37.60725699999966,right,4.0,1,1,0.8205454999988433,659763,001,2024-09-12_21h33.42.024,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 21h33.47.693455 +0530,
