delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,polygon.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,textbox.text,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.1,1000,exp,19,10,238,3,1033.7948514998425,,1033.782244300004,1033.7948514998425,1034.7941491999663,1034.7941491999663,1034.7941491999663,1034.9292653999291,space,0.1254327001515776,None,1034.9300287999213,1035.0438093667074,1035.3691521999426,1035.347720199963,1035.3477669998538,1035.3691521999426,1035.3691521999426,1035.3691521999426,1036.228279999923,300,1,[0.8777399999089539],[0.8777526998892426],01,001,2024-11-09_13h03.57.924,IntentionalBindingTask,2024.1.5,None,2024-11-09 13h04.09.149740 +0530,
0.4,1000,exp,19,11,239,4,1036.2428260999732,,1036.2305542000104,1036.2428260999732,1037.242043999955,1037.242043999955,1037.242043999955,1037.4104222999886,space,0.1644365000538528,None,1037.411227399949,1037.824759966523,1038.148120699916,1038.1272408999503,1038.1272817999125,1038.148120699916,1038.148120699916,1038.148120699916,1039.0093077998608,200,1,[0.8791998000815511],[0.8792153999675065],01,001,2024-11-09_13h03.57.924,IntentionalBindingTask,2024.1.5,None,2024-11-09 13h04.09.149740 +0530,
0.4,400,unexp,20,0,240,1,1039.023557299981,,1039.0112302999478,1039.023557299981,1040.022555100033,1040.022555100033,1040.022555100033,1040.340835899813,space,0.30592770013026893,None,1040.3417364000343,1040.755242866526,1041.0818369998597,1041.0575158998836,1041.0575729999691,1041.0818369998597,1041.0818369998597,1041.0818369998597,1042.1721498998813,400,1,[1.1120160999707878],[1.1120311000850052],01,001,2024-11-09_13h03.57.924,IntentionalBindingTask,2024.1.5,None,2024-11-09 13h04.09.149740 +0530,
0.7,1000,exp,20,1,241,5,1042.1870348998345,,1042.174090599874,1042.1870348998345,1043.186319799861,1043.186319799861,1043.186319799861,1044.2539641999174,space,1.0644847000949085,None,1044.25471369992,1044.9680397664818,1045.2890810000245,1045.268403899856,1045.2684636998456,1045.2890810000245,1045.2890810000245,1045.2890810000245,1046.4349730999675,400,1,[1.1636334001086652],[1.1636485999915749],01,001,2024-11-09_13h03.57.924,IntentionalBindingTask,2024.1.5,None,2024-11-09 13h04.09.149740 +0530,
0.1,1000,exp,20,2,242,6,1046.4497197999153,,1046.436506900005,1046.4497197999153,1047.4489722999278,1047.4489722999278,1047.4489722999278,1048.3667484000325,space,0.9073279998265207,None,1048.36762299994,1048.4812646664834,1048.7999166999944,1048.7771844998933,1048.7772284999955,1048.7999166999944,1048.7999166999944,1048.7999166999944,1049.8486875998788,400,1,[1.0685413999017328],[1.0685564000159502],01,001,2024-11-09_13h03.57.924,IntentionalBindingTask,2024.1.5,None,2024-11-09 13h04.09.149740 +0530,
0.7,1000,exp,20,3,243,11,1049.8632435000036,,1049.8510976999532,1049.8632435000036,1050.862688299967,1050.862688299967,1050.862688299967,1050.9479294000193,space,0.07898289989680052,None,1050.948821199825,1051.661775366698,1051.9775679998565,1051.9574009999633,1051.957448199857,1051.9775679998565,1051.9775679998565,1051.9775679998565,1053.877518299967,400,1,[1.91408080002293],[1.9141053000930697],01,001,2024-11-09_13h03.57.924,IntentionalBindingTask,2024.1.5,None,2024-11-09 13h04.09.149740 +0530,
0.4,1000,exp,20,4,244,4,1053.8927529999055,,1053.87924189982,1053.8927529999055,1054.892022299813,1054.892022299813,1054.892022299813,1055.859584499849,space,0.9634101998526603,None,1055.860591399949,1056.2740691665715,1056.594688099809,1056.577304000035,1056.5773598998785,1056.594688099809,1056.594688099809,1056.594688099809,1058.3072071999777,300,1,[1.7278665001504123],[1.7278804001398385],01,001,2024-11-09_13h03.57.924,IntentionalBindingTask,2024.1.5,None,2024-11-09 13h04.09.149740 +0530,
0.1,1000,exp,20,5,245,9,1058.3219649000093,,1058.308485099813,1058.3219649000093,1059.3212420998607,1059.3212420998607,1059.3212420998607,1059.6229159999639,space,0.2905809001531452,None,1059.6241329000331,1059.7374494665457,1060.0595089998096,1060.0377044000197,1060.0377511999104,1060.0595089998096,1060.0595089998096,1060.0595089998096,1061.1073284999002,400,1,[1.066683700075373],[1.0666965001728386],01,001,2024-11-09_13h03.57.924,IntentionalBindingTask,2024.1.5,None,2024-11-09 13h04.09.149740 +0530,
0.4,1000,exp,20,6,246,7,1061.1194317999762,,1061.1095640999265,1061.1194317999762,1062.1187620998826,1062.1187620998826,1062.1187620998826,1062.237026099814,space,0.10447179991751909,None,1062.237891299883,1062.6515000665715,1062.9764502998441,1062.9522438999265,1062.9522847000044,1062.9764502998441,1062.9764502998441,1062.9764502998441,1064.8177256998606,300,1,[1.862777299946174],[1.862795599969104],01,001,2024-11-09_13h03.57.924,IntentionalBindingTask,2024.1.5,None,2024-11-09 13h04.09.149740 +0530,
0.1,400,unexp,20,7,247,0,1064.8325234998483,,1064.8195083998144,1064.8325234998483,1065.831725699827,1065.831725699827,1065.831725699827,1066.0996023998596,space,0.2609045000281185,None,1066.1004985999316,1066.2149425666469,1066.539531599963,1066.5176468000282,1066.517703199992,1066.539531599963,1066.539531599963,1066.539531599963,1067.3830707999878,400,1,[0.8621418999973685],[0.8621638000477105],01,001,2024-11-09_13h03.57.924,IntentionalBindingTask,2024.1.5,None,2024-11-09 13h04.09.149740 +0530,
