stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
10,1,8.0,10.955457299947739,,10.940025500021875,10.955457299947739,11.455094499979168,11.455094499979168,11.471579199889675,11.770703099900857,11.922130699967965,right,8.0,1,1,0.4649692999664694,795241,001,2024-09-10_22h52.12.944,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 22h52.17.257475 +0530,
11,1,8.0,11.937273100018501,,11.922216099919751,11.937273100018501,12.437254499876872,12.437254499876872,12.437254499876872,12.737184599973261,12.938211400061846,right,8.0,1,1,0.49999059992842376,795241,001,2024-09-10_22h52.12.944,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 22h52.17.257475 +0530,
12,1,8.0,12.952920000068843,,12.938273000065237,12.952920000068843,13.454030999913812,13.454030999913812,13.454030999913812,13.752316399943084,14.136907199863344,left,-8.0,1,1,0.6715980998706073,795241,001,2024-09-10_22h52.12.944,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 22h52.17.257475 +0530,
13,1,7.0,14.152059699874371,,14.136989099904895,14.152059699874371,14.651714700041339,14.651714700041339,14.651714700041339,14.951224699849263,15.219014399917796,left,-7.0,1,1,0.5552464001812041,795241,001,2024-09-10_22h52.12.944,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 22h52.17.257475 +0530,
14,1,7.0,15.23466209997423,,15.219071799889207,15.23466209997423,15.717366500059143,15.717366500059143,15.734184799948707,16.017467000056058,16.23511300003156,right,7.0,1,1,0.502876500133425,795241,001,2024-09-10_22h52.12.944,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 22h52.17.257475 +0530,
15,1,7.0,16.25084439991042,,16.23520529991947,16.25084439991042,16.75048749987036,16.75048749987036,16.75048749987036,17.04926209989935,17.350783499889076,left,-7.0,1,1,0.5929111000150442,795241,001,2024-09-10_22h52.12.944,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 22h52.17.257475 +0530,
16,1,6.0,17.36654039984569,,17.35088160005398,17.36654039984569,17.865769400028512,17.865769400028512,17.865769400028512,18.165688700042665,18.853010499849916,right,6.0,1,1,0.984682499896735,795241,001,2024-09-10_22h52.12.944,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 22h52.17.257475 +0530,
17,1,6.0,18.86640469986014,,18.853174699936062,18.86640469986014,19.36506829992868,19.36506829992868,19.38127000001259,19.68035849998705,20.002258399967104,right,6.0,1,1,0.6316480999812484,795241,001,2024-09-10_22h52.12.944,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 22h52.17.257475 +0530,
18,1,6.0,20.01604159991257,,20.002391000045463,20.01604159991257,20.516811500070617,20.516811500070617,20.516811500070617,20.829285999992862,22.699378499994054,right,6.0,1,1,2.1789913000538945,795241,001,2024-09-10_22h52.12.944,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 22h52.17.257475 +0530,
19,1,5.0,22.714578100014478,,22.69951399997808,22.714578100014478,23.210973100038245,23.210973100038245,23.2269528999459,23.52675580000505,23.74506239988841,right,5.0,1,1,0.5224157001357526,795241,001,2024-09-10_22h52.12.944,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 22h52.17.257475 +0530,
20,1,5.0,23.759886299958453,,23.745119799859822,23.759886299958453,24.259525599889457,24.259525599889457,24.259525599889457,24.560450799996033,25.42611959995702,left,-5.0,1,1,1.1592457999940962,795241,001,2024-09-10_22h52.12.944,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 22h52.17.257475 +0530,
21,1,5.0,25.44214820000343,,25.42617930006236,25.44214820000343,25.941873699892312,25.941873699892312,25.941873699892312,26.25732439989224,26.762036900036037,left,-5.0,1,1,0.8150720000267029,795241,001,2024-09-10_22h52.12.944,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 22h52.17.257475 +0530,
22,1,4.0,26.777309600031003,,26.76217669993639,26.777309600031003,27.27369079994969,27.27369079994969,27.290099599864334,27.57340390002355,28.789255399955437,left,-4.0,1,1,1.5022897999733686,795241,001,2024-09-10_22h52.12.944,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 22h52.17.257475 +0530,
23,1,4.0,28.805934299947694,,28.789324400015175,28.805934299947694,29.290947899920866,29.290947899920866,29.30651140003465,29.605266199912876,29.90586319984868,right,4.0,1,1,0.6123442000243813,795241,001,2024-09-10_22h52.12.944,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 22h52.17.257475 +0530,
24,1,4.0,29.92091999994591,,29.90594709990546,29.92091999994591,30.420487500028685,30.420487500028685,30.420487500028685,30.71997829992324,30.9047767999582,left,-4.0,1,1,0.4670428999233991,795241,001,2024-09-10_22h52.12.944,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 22h52.17.257475 +0530,
25,1,3.0,30.919968500034884,,30.904849899932742,30.919968500034884,31.419375699944794,31.419375699944794,31.419375699944794,31.719066199846566,33.10302719986066,left,-3.0,1,1,1.6806717000436038,795241,001,2024-09-10_22h52.12.944,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 22h52.17.257475 +0530,
