neut_words,math,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,thisRow.t,notes,Intro.started,Introduction.started,key_resp.started,Intro.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Words.started,key_resp_2.started,text.started,text.stopped,Words.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,DisTask.started,task.started,textbox.started,InstText.started,mouse.started,DisTask.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Recall.started,RecallTask.started,key_resp_3.started,Recall.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,Test.started,TestAns.started,Instr.started,mouse_2.started,Test.stopped,TestAns.text,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,41 + 23 =,,,,,,,,,0,4,4,9,,,,,100.55370089999633,,,,,,,,,,,,,,,,,100.53365999998641,100.55370089999633,100.55370089999633,100.55370089999633,0.005372000014176592,102.99757060001139,64,[0.032407407407407406],[-0.3111111111111111],[1],[0],[0],[2.457981399988057],['InstText'],,,,,,,,,,,,,,,,,,,,,04,001,2024-12-04_10h54.23.708,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 10h54.55.681079 +0530,
,25 + 28 =,,,,,,,,,0,5,5,5,,,,,103.01409240000066,,,,,,,,,,,,,,,,,102.99843310000142,103.01409240000066,103.01409240000066,103.01409240000066,0.0047153999912552536,107.84372770000482,53,[0.032407407407407406],[-0.3111111111111111],[1],[0],[0],[4.8398185999831185],['InstText'],,,,,,,,,,,,,,,,,,,,,04,001,2024-12-04_10h54.23.708,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 10h54.55.681079 +0530,
,40 - 44 =,,,,,,,,,0,6,6,11,,,,,107.86870930000441,,,,,,,,,,,,,,,,,107.84507449998637,107.86870930000441,107.86870930000441,107.86870930000441,0.007496300007915124,110.25825760001317,-4,[0.032407407407407406],[-0.3111111111111111],[1],[0],[0],[2.4046044000133406],['InstText'],,,,,,,,,,,,,,,,,,,,,04,001,2024-12-04_10h54.23.708,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 10h54.55.681079 +0530,
,47 + 50 =,,,,,,,,,0,7,7,14,,,,,110.28531060001114,,,,,,,,,,,,,,,,,110.25966039998457,110.28531060001114,110.28531060001114,110.28531060001114,0.009763000009115785,113.205855600012,97,[0.032407407407407406],[-0.3111111111111111],[1],[0],[0],[2.9357169000140857],['InstText'],,,,,,,,,,,,,,,,,,,,,04,001,2024-12-04_10h54.23.708,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 10h54.55.681079 +0530,
,44 - 5 =,,,,,,,,,0,8,8,2,,,,,113.22993579998729,,,,,,,,,,,,,,,,,113.20720929998788,113.22993579998729,113.22993579998729,113.22993579998729,0.006510899984277785,119.96606310000061,-39,[0.032407407407407406],[-0.3111111111111111],[1],[0],[0],[6.751354200008791],['InstText'],,,,,,,,,,,,,,,,,,,,,04,001,2024-12-04_10h54.23.708,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 10h54.55.681079 +0530,
,17 + 14 =,,,,,,,,,0,9,9,3,,,,,119.98951409998699,,,,,,,,,,,,,,,,,119.96754599999986,119.98951409998699,119.98951409998699,119.98951409998699,0.006193000008352101,123.86333550000563,31,[0.032407407407407406],[-0.3111111111111111],[1],[0],[0],[3.8886242999869864],['InstText'],,,,,,,,,,,,,,,,,,,,,04,001,2024-12-04_10h54.23.708,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 10h54.55.681079 +0530,
,23 - 29 =,,,,,,,,,0,10,10,7,,,,,123.89036170000327,,,,,,,,,,,,,,,,,123.86538370000198,123.89036170000327,123.89036170000327,123.89036170000327,0.00776499998755753,128.35802399998647,-6,[0.032407407407407406],[-0.3111111111111111],[1],[0],[0],[4.483997300005285],['InstText'],,,,,,,,,,,,,,,,,,,,,04,001,2024-12-04_10h54.23.708,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 10h54.55.681079 +0530,
,32 - 45 =,,,,,,,,,0,11,11,6,,,,,128.38202089999686,,,,,,,,,,,,,,,,,128.3593392999901,128.38202089999686,128.38202089999686,128.38202089999686,0.006452000001445413,132.5377204999968,-13,[0.032407407407407406],[-0.3111111111111111],[1],[0],[0],[4.170968799997354],['InstText'],,,,,,,,,,,,,,,,,,,,,04,001,2024-12-04_10h54.23.708,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 10h54.55.681079 +0530,
,32 - 21 =,,,,,,,,,0,12,12,4,,,,,132.56219450000208,,,,,,,,,,,,,,,,,132.5389334000065,132.56219450000208,132.56219450000208,132.56219450000208,0.006717699987348169,135.20040689999587,11,[0.032407407407407406],[-0.3111111111111111],[1],[0],[0],[2.654426799999783],['InstText'],,,,,,,,,,,,,,,,,,,,,04,001,2024-12-04_10h54.23.708,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 10h54.55.681079 +0530,
,16 + 12 =,,,,,,,,,0,13,13,12,,,,,135.21638969998457,,,,,,,,,,,,,,,,,135.20101839999552,135.21638969998457,135.21638969998457,135.21638969998457,0.003129899996565655,138.11609249998583,28,[0.032407407407407406],[-0.3111111111111111],[1],[0],[0],[2.911066899978323],['InstText'],,,,,,,,,,,,,,,,,,,,,04,001,2024-12-04_10h54.23.708,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 10h54.55.681079 +0530,
,29 + 10 =,,,,,,,,,0,14,14,8,,,,,138.1407889999973,,,,,,,,,,,,,,,,,138.11792650001007,138.1407889999973,138.1407889999973,138.1407889999973,0.00615010000183247,141.7289740999986,39,[0.032407407407407406],[-0.3111111111111111],[1],[0],[0],[3.604017500008922],['InstText'],,,,,,,,,,,,,,,,,,,,,04,001,2024-12-04_10h54.23.708,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 10h54.55.681079 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.73007309998502,141.744002499996,141.744002499996,143.49469829999725,space,1.7470886000082828,None,,,,,,,,,,,,,,04,001,2024-12-04_10h54.23.708,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 10h54.55.681079 +0530,
,,,,,,,,,,,,,,0,0,0,0,143.51285800000187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.49637579999398,143.51285800000187,143.51285800000187,0.002814300009049475,150.70240929999272, Baske,[],[],[],[],[],[],[],04,001,2024-12-04_10h54.23.708,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 10h54.55.681079 +0530,
,,,,,,,,,,,,,,1,0,1,0,150.73322200000985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.70553289999953,150.73322200000985,150.73322200000985,0.012042899994412437,154.94990579999285,Truck,[0.032407407407407406],[-0.3111111111111111],[1],[0],[0],[4.241921799984993],['Instr'],04,001,2024-12-04_10h54.23.708,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 10h54.55.681079 +0530,
,,,,,,,,,,,,,,2,0,2,0,154.9677795000025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.95207959998515,154.9677795000025,154.9677795000025,0.0014044999843463302,158.54668530001072,Truck,[0.032407407407407406],[-0.3111111111111111],[1],[0],[0],[3.592331000021659],['Instr'],04,001,2024-12-04_10h54.23.708,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 10h54.55.681079 +0530,
,,,,,,,,,,,,,,3,0,3,0,158.56669070001226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.5499404000002,158.56669070001226,158.56669070001226,0.001951399986864999,161.2611414999992,Market,[0.032407407407407406],[-0.3111111111111111],[1],[0],[0],[2.708923899976071],['Instr'],04,001,2024-12-04_10h54.23.708,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 10h54.55.681079 +0530,
,,,,,,,,,,,,,,4,0,4,0,161.27943309998955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.2632522000058,161.27943309998955,161.27943309998955,0.001469500013627112,162.54308969998965,hay,[0.032407407407407406],[-0.3111111111111111],[1],[0],[0],[1.2776493999990635],['Instr'],04,001,2024-12-04_10h54.23.708,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 10h54.55.681079 +0530,
,,,,,,,,,,,,,,5,0,5,0,162.56038919999264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.5453722999955,162.56038919999264,162.56038919999264,0.0016454000142402947,163.8586565000005,hat,[0.032407407407407406],[-0.3111111111111111],[1],[0],[0],[1.3109624999924563],['Instr'],04,001,2024-12-04_10h54.23.708,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 10h54.55.681079 +0530,
,,,,,,,,,,,,,,6,0,6,0,163.87860980001278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.86142679999466,163.87860980001278,163.87860980001278,0.0015682999801356345,166.339676100004,butter,[0.032407407407407406],[-0.3111111111111111],[1],[0],[0],[2.475699100003112],['Instr'],04,001,2024-12-04_10h54.23.708,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 10h54.55.681079 +0530,
,,,,,,,,,,,,,,7,0,7,0,166.35834360000445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.3417352999968,166.35834360000445,166.35834360000445,0.0014828999992460012,170.06987840001239,casket,[0.032407407407407406],[-0.3111111111111111],[1],[0],[0],[3.7260424999985844],['Instr'],04,001,2024-12-04_10h54.23.708,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 10h54.55.681079 +0530,
,,,,,,,,,,,,,,8,0,8,0,170.08921810000902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.0720835000102,170.08921810000902,170.08921810000902,0.0020878000068478286,173.03347279998707,custom,[0.032407407407407406],[-0.3111111111111111],[1],[0],[0],[2.9585279999882914],['Instr'],04,001,2024-12-04_10h54.23.708,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 10h54.55.681079 +0530,
,,,,,,,,,,,,,,9,0,9,0,173.05214019998675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.03575720000663,173.05214019998675,173.05214019998675,0.0015284999972209334,179.0611396000022,black,[0.032407407407407406],[-0.3111111111111111],[1],[0],[0],[6.023013599973638],['Instr'],04,001,2024-12-04_10h54.23.708,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 10h54.55.681079 +0530,
,,,,,,,,,,,,,,10,0,10,0,179.0801541999972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.06314330000896,179.0801541999972,179.0801541999972,0.0015386000159196556,184.92226160000428,tool,[0.032407407407407406],[-0.3111111111111111],[1],[0],[0],[5.856680099997902],['Instr'],04,001,2024-12-04_10h54.23.708,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 10h54.55.681079 +0530,
,,,,,,,,,,,,,,,,,,184.94049079998513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.92470609999145,184.94049079998513,184.94049079998513,0.0015256000042427331,,,,,,,,,,,,,,,,,
