reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,text.started,key_resp.started,Fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
78,80,162,5,5,40,6,87.34484030026942,,87.32924210000783,87.34484030026942,88.34403839986771,88.34403839986771,88.35981710022315,88.8777447999455,t,0.5224024001508951,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
11,30,7,5,6,41,0,88.89274979988113,,88.87820729985833,88.89274979988113,89.89286260027438,89.89286260027438,89.89286260027438,90.45985820004717,l,0.5634391997009516,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
15,35,13,6,0,42,1,90.47560349991545,,90.46056090015918,90.47560349991545,91.45849939994514,91.45849939994514,91.47618150012568,92.20875030010939,l,0.7402615998871624,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
27,50,21,6,1,43,2,92.22334730019793,,92.20943310018629,92.22334730019793,93.22248520003632,93.22248520003632,93.22248520003632,93.94139839988202,l,0.716942600440234,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
40,55,62,6,2,44,3,93.95528890006244,,93.94209460029379,93.95528890006244,94.95363470027223,94.95363470027223,94.9702750002034,95.88797320006415,t,0.9285587999038398,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
67,75,119,6,3,45,5,95.90319210011512,,95.88845239998773,95.90319210011512,96.90297019993886,96.90297019993886,96.91879180027172,97.48610470024869,t,0.5776893999427557,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
11,30,7,6,4,46,0,97.50190970022231,,97.48660949990153,97.50190970022231,98.50119390012696,98.50119390012696,98.51688220025972,99.06880620028824,l,0.5616427999921143,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
49,60,89,6,5,47,4,99.0839570001699,,99.06932320026681,99.0839570001699,100.08195450017229,100.08195450017229,100.08195450017229,100.61633899994195,t,0.5186954997479916,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
78,80,162,6,6,48,6,100.63222620030865,,100.6168041001074,100.63222620030865,101.63177980016917,101.63177980016917,101.6473823999986,102.1987260999158,t,0.5590387997217476,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
67,75,119,7,0,49,5,102.21351210027933,,102.19921760028228,102.21351210027933,103.21244010003284,103.21244010003284,103.21244010003284,104.04742110008374,t,0.8224225002340972,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
40,55,62,7,1,50,3,104.06286679999903,,104.04811150021851,104.06286679999903,105.06212700018659,105.06212700018659,105.07815060019493,105.77847630018368,t,0.7106702998280525,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
49,60,89,7,2,51,4,105.79397100023925,,105.77896470017731,105.79397100023925,106.79320820001885,106.79320820001885,106.80933219986036,107.31023079995066,t,0.5123409000225365,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
27,50,21,7,3,52,2,107.32590770022944,,107.31072690011933,107.32590770022944,108.32507150014862,108.32507150014862,108.34098839992657,109.0414913999848,l,0.7028481001034379,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
78,80,162,7,4,53,6,109.0576190999709,,109.04201020020992,109.0576190999709,110.05680519994348,110.05680519994348,110.07312900014222,110.6405426999554,t,0.5693378997966647,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
