trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
94,0,94,0,169.65839659998892,,169.60083840001607,10,169.65839659998892,169.65839659998892,0.04249560000607744,171.3278593000141,[-0.09351851851851851],[-0.2777777777777778],[1],[0],[0],[1.6850437999819405],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
95,0,95,0,171.38750349998008,,171.3322066999972,10,171.38750349998008,171.38750349998008,0.03799159999471158,172.99944619997405,[0.21944444444444444],[-0.42314814814814816],[1],[0],[0],[1.6295309000415727],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
96,0,96,0,173.03454500000225,,173.00355319998926,5,173.03454500000225,173.03454500000225,0.021418899996206164,175.20938139996724,[-0.15925925925925927],[-0.45],[1],[0],[0],[2.184332600038033],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
97,0,97,0,175.25853180000558,,175.2156436999794,5,175.25853180000558,175.25853180000558,0.03437779995147139,177.67251309996936,[0.14629629629629629],[0.45092592592592595],[1],[0],[0],[2.4232214000076056],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
98,0,98,0,177.72514409996802,,177.67970420001075,5,177.72514409996802,177.72514409996802,0.032283400010783225,178.97138000000268,[-0.18055555555555555],[-0.08981481481481482],[1],[0],[0],[1.2603319000336342],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
99,0,99,0,179.01492629997665,,178.97760990000097,5,179.01492629997665,179.01492629997665,0.028786699986085296,180.78626789996633,[-0.001851851851851852],[0.07037037037037037],[1],[0],[0],[1.780417900008615],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
100,0,100,0,180.85395899997093,,180.7924225999741,10,180.85395899997093,180.85395899997093,0.04968290001852438,182.8001664999756,[-0.4925925925925926],[0.024074074074074074],[1],[0],[0],[1.9590790000511333],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
101,0,101,0,182.82264369999757,,182.80303359997924,5,182.82264369999757,182.82264369999757,0.012951399956364185,184.88193430000683,[0.14537037037037037],[-0.19444444444444445],[1],[0],[0],[2.0662408999633044],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
102,0,102,0,184.9110855999752,,184.88413989997935,5,184.9110855999752,184.9110855999752,0.014575700042769313,186.61433259997284,[-0.3055555555555556],[0.30925925925925923],[1],[0],[0],[1.7153516999678686],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
103,0,103,0,186.68032829998992,,186.62105979997432,10,186.68032829998992,186.68032829998992,0.04736520000733435,188.39563699997962,[-0.20925925925925926],[-0.22592592592592592],[1],[0],[0],[1.7281760000041686],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
