pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,triangle.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-50,x,,,,,3,0,12,0,508.377370400005,,508.3638174000662,508.377370400005,509.37647800007835,509.37647800007835,509.37647800007835,509.37647800007835,509.39283360005356,510.3747928000521,510.3747928000521,510.9596574000316,x,1,0.5781682999804616,None,108142,001,2024-10-12_10h55.39.373,MotorSequenceLearning,2024.1.5,None,2024-10-12 10h55.45.871970 +0530,
50,c,,,,,3,1,13,2,510.9740770000499,,510.96172080002725,510.9740770000499,511.9734296000097,511.9734296000097,511.9734296000097,511.9734296000097,511.9734296000097,512.9716547999997,512.9716547999997,513.7567509000655,c,1,0.7822909000096843,None,108142,001,2024-10-12_10h55.39.373,MotorSequenceLearning,2024.1.5,None,2024-10-12 10h55.45.871970 +0530,
150,v,,,,,3,2,14,1,513.7716019999934,,513.7589933000272,513.7716019999934,514.7708968999796,514.7708968999796,514.7708968999796,514.7708968999796,514.7708968999796,515.7696690000594,515.7696690000594,516.3043677000096,v,1,0.5208043999737129,None,108142,001,2024-10-12_10h55.39.373,MotorSequenceLearning,2024.1.5,None,2024-10-12 10h55.45.871970 +0530,
-50,x,,,,,3,3,15,0,516.3191671000095,,516.3063984999899,516.3191671000095,517.3186734999763,517.3186734999763,517.3186734999763,517.3186734999763,517.3186734999763,518.3172712000087,518.3172712000087,518.8519576999824,x,1,0.5179929999867454,None,108142,001,2024-10-12_10h55.39.373,MotorSequenceLearning,2024.1.5,None,2024-10-12 10h55.45.871970 +0530,
50,c,,,,,4,0,16,2,518.866868800018,,518.8536848999793,518.866868800018,519.866633299971,519.866633299971,519.866633299971,519.866633299971,519.866633299971,520.8648703000508,520.8648703000508,521.3496824000031,c,1,0.469696499989368,None,108142,001,2024-10-12_10h55.39.373,MotorSequenceLearning,2024.1.5,None,2024-10-12 10h55.45.871970 +0530,
-50,x,,,,,4,1,17,0,521.3645381000824,,521.3515265000751,521.3645381000824,522.3636989999795,522.3636989999795,522.3636989999795,522.3636989999795,522.3636989999795,523.3628433999838,523.3628433999838,523.8475479000481,x,1,0.4697376999538392,None,108142,001,2024-10-12_10h55.39.373,MotorSequenceLearning,2024.1.5,None,2024-10-12 10h55.45.871970 +0530,
50,c,,,,,4,2,18,2,523.8622813000111,,523.8493338000262,523.8622813000111,524.8620186999906,524.8620186999906,524.8620186999906,524.8620186999906,524.8620186999906,525.8605969999917,525.8605969999917,526.2614723000443,c,1,0.38418140006251633,None,108142,001,2024-10-12_10h55.39.373,MotorSequenceLearning,2024.1.5,None,2024-10-12 10h55.45.871970 +0530,
-150,z,,,,,4,3,19,3,526.2765765000368,,526.2634160000598,526.2765765000368,527.2762402000371,527.2762402000371,527.2762402000371,527.2762402000371,527.2762402000371,528.2747458000667,528.2747458000667,528.9413237000117,z,1,0.6515441000228748,None,108142,001,2024-10-12_10h55.39.373,MotorSequenceLearning,2024.1.5,None,2024-10-12 10h55.45.871970 +0530,
-50,x,,,,,5,0,20,0,528.9568688999861,,528.9425418999745,528.9568688999861,529.9573895999929,529.9573895999929,529.9573895999929,529.9573895999929,529.9573895999929,530.9545976000372,530.9545976000372,531.5384583000559,x,1,0.5688379999483004,None,108142,001,2024-10-12_10h55.39.373,MotorSequenceLearning,2024.1.5,None,2024-10-12 10h55.45.871970 +0530,
50,c,,,,,5,1,21,2,531.5541567000328,,531.5397382000228,531.5541567000328,532.5379068000475,532.5379068000475,532.5379068000475,532.5379068000475,532.5544866999844,533.5533665000694,533.5533665000694,533.8874086000724,c,1,0.31749990000389516,None,108142,001,2024-10-12_10h55.39.373,MotorSequenceLearning,2024.1.5,None,2024-10-12 10h55.45.871970 +0530,
50,c,,,,,5,2,22,2,533.9028225999791,,533.8894002999878,533.9028225999791,534.9021218999987,534.9021218999987,534.9021218999987,534.9021218999987,534.9021218999987,535.901598699973,535.901598699973,536.4191417000256,c,1,0.5093751000240445,None,108142,001,2024-10-12_10h55.39.373,MotorSequenceLearning,2024.1.5,None,2024-10-12 10h55.45.871970 +0530,
-50,x,,,,,5,3,23,0,536.4342720999848,,536.4212029000046,536.4342720999848,537.4333999999799,537.4333999999799,537.4333999999799,537.4333999999799,537.4496897000354,538.4323864000617,538.4323864000617,538.85010530008,x,1,0.40952260000631213,None,108142,001,2024-10-12_10h55.39.373,MotorSequenceLearning,2024.1.5,None,2024-10-12 10h55.45.871970 +0530,
-50,x,,,,,6,0,24,0,538.8649323000573,,538.8520157000748,538.8649323000573,539.8640486000804,539.8640486000804,539.8640486000804,539.8640486000804,539.8807842000388,540.8630672000581,540.8630672000581,541.3632903000107,x,1,0.49352470005396754,None,108142,001,2024-10-12_10h55.39.373,MotorSequenceLearning,2024.1.5,None,2024-10-12 10h55.45.871970 +0530,
-150,z,,,,,6,1,25,3,541.378472500015,,541.3644463000819,541.378472500015,542.3785029000137,542.3785029000137,542.3785029000137,542.3785029000137,542.3785029000137,543.3779954999918,543.3779954999918,544.028571199975,z,1,0.6401805999921635,None,108142,001,2024-10-12_10h55.39.373,MotorSequenceLearning,2024.1.5,None,2024-10-12 10h55.45.871970 +0530,
-150,z,,,,,6,2,26,3,544.043232499971,,544.0306653999723,544.043232499971,545.042666100082,545.042666100082,545.042666100082,545.042666100082,545.042666100082,546.0415920000523,546.0415920000523,546.6428892000113,z,1,0.589053500094451,None,108142,001,2024-10-12_10h55.39.373,MotorSequenceLearning,2024.1.5,None,2024-10-12 10h55.45.871970 +0530,
50,c,,,,,6,3,27,2,546.6575764999725,,546.6452825000742,546.6575764999725,547.6574160000309,547.6574160000309,547.6574160000309,547.6574160000309,547.6574160000309,548.6564407000551,548.6564407000551,549.1240280000493,c,1,0.45387909992132336,None,108142,001,2024-10-12_10h55.39.373,MotorSequenceLearning,2024.1.5,None,2024-10-12 10h55.45.871970 +0530,
150,v,,,,,7,0,28,1,549.1385416000849,,549.1265048000496,549.1385416000849,550.1383858000627,550.1383858000627,550.1383858000627,550.1383858000627,550.1383858000627,551.1367996999761,551.1367996999761,551.6055347999791,v,1,0.4654231999302283,None,108142,001,2024-10-12_10h55.39.373,MotorSequenceLearning,2024.1.5,None,2024-10-12 10h55.45.871970 +0530,
-50,x,,,,,7,1,29,0,551.6195620000362,,551.6075669000857,551.6195620000362,552.6189579999773,552.6189579999773,552.6189579999773,552.6189579999773,552.6189579999773,553.6177068999968,553.6177068999968,554.1719413000392,x,1,0.5442558000795543,None,108142,001,2024-10-12_10h55.39.373,MotorSequenceLearning,2024.1.5,None,2024-10-12 10h55.45.871970 +0530,
150,v,,,,,7,2,30,1,554.1832735000644,,554.1731347000459,554.1832735000644,555.1834841000382,555.1834841000382,555.1834841000382,555.1834841000382,555.1834841000382,556.1828440000536,556.1828440000536,557.1498025000328,v,1,0.964646799955517,None,108142,001,2024-10-12_10h55.39.373,MotorSequenceLearning,2024.1.5,None,2024-10-12 10h55.45.871970 +0530,
-150,z,,,,,7,3,31,3,557.1644532000646,,557.151723899995,557.1644532000646,558.163987100008,558.163987100008,558.163987100008,558.163987100008,558.163987100008,559.1624960000627,559.1624960000627,559.5807043000823,z,1,0.40209419990424067,None,108142,001,2024-10-12_10h55.39.373,MotorSequenceLearning,2024.1.5,None,2024-10-12 10h55.45.871970 +0530,
-50,x,,,,,8,0,32,0,559.5956310000038,,559.5827794000506,559.5956310000038,560.5944441000465,560.5944441000465,560.5944441000465,560.5944441000465,560.5944441000465,561.5940952000674,561.5940952000674,562.1621670000022,x,1,0.5564980000490323,None,108142,001,2024-10-12_10h55.39.373,MotorSequenceLearning,2024.1.5,None,2024-10-12 10h55.45.871970 +0530,
150,v,,,,,8,1,33,1,562.1763596000383,,562.1641832999885,562.1763596000383,563.1757656000555,563.1757656000555,563.1757656000555,563.1757656000555,563.1757656000555,564.1749294999754,564.1749294999754,564.7426053000381,v,1,0.5625446999911219,None,108142,001,2024-10-12_10h55.39.373,MotorSequenceLearning,2024.1.5,None,2024-10-12 10h55.45.871970 +0530,
-50,x,,,,,8,2,34,0,564.757633100031,,564.7445303000277,564.757633100031,565.7565712999785,565.7565712999785,565.7565712999785,565.7565712999785,565.7565712999785,566.7553891000571,566.7553891000571,567.4411064999877,x,1,0.6837179000722244,None,108142,001,2024-10-12_10h55.39.373,MotorSequenceLearning,2024.1.5,None,2024-10-12 10h55.45.871970 +0530,
50,c,,,,,8,3,35,2,567.4549401000841,,567.443042900064,567.4549401000841,568.454296000069,568.454296000069,568.454296000069,568.454296000069,568.4708130999934,569.4531469000503,569.4531469000503,570.1208209000761,c,1,0.6561380999628454,None,108142,001,2024-10-12_10h55.39.373,MotorSequenceLearning,2024.1.5,None,2024-10-12 10h55.45.871970 +0530,
-50,x,,,,,9,0,36,0,570.1357214000309,,570.1228721999796,570.1357214000309,571.1347879000241,571.1347879000241,571.1347879000241,571.1347879000241,571.1347879000241,572.1337561000837,572.1337561000837,572.5354730000254,x,1,0.3856855999911204,None,108142,001,2024-10-12_10h55.39.373,MotorSequenceLearning,2024.1.5,None,2024-10-12 10h55.45.871970 +0530,
-150,z,,,,,9,1,37,3,572.5502486000769,,572.5375616999809,572.5502486000769,573.5494160000235,573.5494160000235,573.5494160000235,573.5494160000235,573.5494160000235,574.54804350005,574.54804350005,575.0829056000803,z,1,0.5215063999639824,None,108142,001,2024-10-12_10h55.39.373,MotorSequenceLearning,2024.1.5,None,2024-10-12 10h55.45.871970 +0530,
-50,x,,,,,9,2,38,0,575.0977918000426,,575.0849033000413,575.0977918000426,576.0971103999764,576.0971103999764,576.0971103999764,576.0971103999764,576.0971103999764,577.0956943000201,577.0956943000201,577.5640427999897,x,1,0.46511979994829744,None,108142,001,2024-10-12_10h55.39.373,MotorSequenceLearning,2024.1.5,None,2024-10-12 10h55.45.871970 +0530,
-50,x,,,,,9,3,39,0,577.5788120999932,,577.5662323000142,577.5788120999932,578.5815063000191,578.5815063000191,578.5815063000191,578.5815063000191,578.5815063000191,579.577060700045,579.577060700045,580.0780722000636,x,1,0.4911156001035124,None,108142,001,2024-10-12_10h55.39.373,MotorSequenceLearning,2024.1.5,None,2024-10-12 10h55.45.871970 +0530,
50,c,,,,,10,0,40,2,580.0933781000786,,580.0798992000055,580.0933781000786,581.0912058000686,581.0912058000686,581.0912058000686,581.0912058000686,581.1082752000075,582.0901807000628,582.0901807000628,582.6072555000428,c,1,0.5112732000416145,None,108142,001,2024-10-12_10h55.39.373,MotorSequenceLearning,2024.1.5,None,2024-10-12 10h55.45.871970 +0530,
50,c,,,,,10,1,41,2,582.6230870999862,,582.608087599976,582.6230870999862,583.6224448999856,583.6224448999856,583.6224448999856,583.6224448999856,583.6224448999856,584.6207944999915,584.6207944999915,585.0723231000593,c,1,0.45044509996660054,None,108142,001,2024-10-12_10h55.39.373,MotorSequenceLearning,2024.1.5,None,2024-10-12 10h55.45.871970 +0530,
-150,z,,,,,10,2,42,3,585.087120900047,,585.0733860000037,585.087120900047,586.0880941000069,586.0880941000069,586.0880941000069,586.0880941000069,586.0880941000069,587.0862149000168,587.0862149000168,587.5378703000024,z,1,0.4371458999812603,None,108142,001,2024-10-12_10h55.39.373,MotorSequenceLearning,2024.1.5,None,2024-10-12 10h55.45.871970 +0530,
50,c,,,,,10,3,43,2,587.552555100061,,587.5396567999851,587.552555100061,588.5521397000412,588.5521397000412,588.5521397000412,588.5521397000412,588.5521397000412,589.5509970000712,589.5509970000712,590.0857769000577,c,1,0.5213427999988198,None,108142,001,2024-10-12_10h55.39.373,MotorSequenceLearning,2024.1.5,None,2024-10-12 10h55.45.871970 +0530,
50,c,,,,,11,0,44,2,590.1003720000153,,590.0878116000677,590.1003720000153,591.0997732999967,591.0997732999967,591.0997732999967,591.0997732999967,591.0997732999967,592.0986960000591,592.0986960000591,592.5336369000142,c,1,0.4249155999859795,None,108142,001,2024-10-12_10h55.39.373,MotorSequenceLearning,2024.1.5,None,2024-10-12 10h55.45.871970 +0530,
-50,x,,,,,11,1,45,0,592.5481058000587,,592.535664300085,592.5481058000587,593.5471726000542,593.5471726000542,593.5471726000542,593.5471726000542,593.5471726000542,594.5459993000841,594.5459993000841,595.2805869000731,x,1,0.7256340999156237,None,108142,001,2024-10-12_10h55.39.373,MotorSequenceLearning,2024.1.5,None,2024-10-12 10h55.45.871970 +0530,
150,v,,,,,11,2,46,1,595.2952892000321,,595.2823710000375,595.2952892000321,596.2947555000428,596.2947555000428,596.2947555000428,596.2947555000428,596.2947555000428,597.2936258000555,597.2936258000555,597.978653899976,v,1,0.6824417000170797,None,108142,001,2024-10-12_10h55.39.373,MotorSequenceLearning,2024.1.5,None,2024-10-12 10h55.45.871970 +0530,
50,c,,,,,11,3,47,2,597.9929913000669,,597.9806977000553,597.9929913000669,598.9925191000802,598.9925191000802,598.9925191000802,598.9925191000802,598.9925191000802,599.991343599977,599.991343599977,600.5423247000435,c,1,0.5429097000742331,None,108142,001,2024-10-12_10h55.39.373,MotorSequenceLearning,2024.1.5,None,2024-10-12 10h55.45.871970 +0530,
-150,z,,,,,12,0,48,3,600.5570636000484,,600.5443533000071,600.5570636000484,601.5567230000161,601.5567230000161,601.5567230000161,601.5567230000161,601.5567230000161,602.5554234000156,602.5554234000156,603.0907244000118,z,1,0.5310499999905005,None,108142,001,2024-10-12_10h55.39.373,MotorSequenceLearning,2024.1.5,None,2024-10-12 10h55.45.871970 +0530,
150,v,,,,,12,1,49,1,603.105220300029,,603.0927706999937,603.105220300029,604.1043415999738,604.1043415999738,604.1043415999738,604.1043415999738,604.1043415999738,605.102907499997,605.102907499997,605.6709446000168,v,1,0.5509122000075877,None,108142,001,2024-10-12_10h55.39.373,MotorSequenceLearning,2024.1.5,None,2024-10-12 10h55.45.871970 +0530,
50,c,,,,,12,2,50,2,605.6857309000334,,605.6730450000614,605.6857309000334,606.6854811999947,606.6854811999947,606.6854811999947,606.6854811999947,606.6854811999947,607.6843736000592,607.6843736000592,608.2851269000676,c,1,0.5868269000202417,None,108142,001,2024-10-12_10h55.39.373,MotorSequenceLearning,2024.1.5,None,2024-10-12 10h55.45.871970 +0530,
50,c,,,,,12,3,51,2,608.300136600039,,608.2871527000098,608.300136600039,609.299319999991,609.299319999991,609.299319999991,609.299319999991,609.3159871000098,610.2980400000233,610.2980400000233,610.7160066000652,c,1,0.4067322000628337,None,108142,001,2024-10-12_10h55.39.373,MotorSequenceLearning,2024.1.5,None,2024-10-12 10h55.45.871970 +0530,
150,v,,,,,13,0,52,1,610.7309939999832,,610.7179264000151,610.7309939999832,611.7302003999939,611.7302003999939,611.7302003999939,611.7302003999939,611.7302003999939,612.7291347000282,612.7291347000282,613.480286700069,v,1,0.7488526999950409,None,108142,001,2024-10-12_10h55.39.373,MotorSequenceLearning,2024.1.5,None,2024-10-12 10h55.45.871970 +0530,
-50,x,,,,,13,1,53,0,613.4950715000741,,613.4822076000273,613.4950715000741,614.4947032000637,614.4947032000637,614.4947032000637,614.4947032000637,614.4947032000637,615.4932391999755,615.4932391999755,616.0277201000135,x,1,0.5244433999760076,None,108142,001,2024-10-12_10h55.39.373,MotorSequenceLearning,2024.1.5,None,2024-10-12 10h55.45.871970 +0530,
-50,x,,,,,13,2,54,0,616.0427553000627,,616.0295525999973,616.0427553000627,617.0423516000155,617.0423516000155,617.0423516000155,617.0423516000155,617.0587173000677,618.0410621999763,618.0410621999763,618.4927049999824,x,1,0.44846089999191463,None,108142,001,2024-10-12_10h55.39.373,MotorSequenceLearning,2024.1.5,None,2024-10-12 10h55.45.871970 +0530,
50,c,,,,,13,3,55,2,618.5070994000416,,618.4947098999983,618.5070994000416,619.50635530008,619.50635530008,619.50635530008,619.50635530008,619.50635530008,620.5052388000768,620.5052388000768,621.1571671999991,c,1,0.6464702000375837,None,108142,001,2024-10-12_10h55.39.373,MotorSequenceLearning,2024.1.5,None,2024-10-12 10h55.45.871970 +0530,
